,Required-1,Required-2,Required-3,Optional
Warm Up,https://leetcode.com/problems/pascals-triangle-ii/description/,https://leetcode.com/problems/ugly-number-ii,https://leetcode.com/problems/perfect-squares/#/description,
E0,https://leetcode.com/problems/word-break/description/,https://leetcode.com/problems/powx-n/description/,https://leetcode.com/problems/valid-parentheses/description/,
E1,https://leetcode.com/problems/reverse-bits/description/,https://leetcode.com/problems/counting-bits/description/,https://leetcode.com/problems/target-sum/description/,
E2,https://leetcode.com/problems/house-robber/description/,https://leetcode.com/problems/generate-parentheses/description/,https://leetcode.com/problems/top-k-frequent-elements/description/,
E3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,https://leetcode.com/problems/set-matrix-zeroes/,https://leetcode.com/problems/string-to-integer-atoi/description/,
E4,https://leetcode.com/problems/number-of-islands/description/,https://leetcode.com/problems/merge-k-sorted-lists/description/,https://leetcode.com/problems/plus-one/description/,
E5,https://leetcode.com/problems/permutations-ii/description/,https://leetcode.com/problems/binary-watch/description/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description/,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description/
E6,https://leetcode.com/problems/maximum-binary-tree/description/,https://leetcode.com/problems/longest-increasing-subsequence/description/,https://leetcode.com/problems/search-insert-position/description/,
E7,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/,https://leetcode.com/problems/task-scheduler/description/,https://leetcode.com/problems/valid-anagram/description/,
E8,https://leetcode.com/problems/battleships-in-a-board/description/,https://leetcode.com/problems/word-search/description/,https://leetcode.com/problems/word-search-ii/description/,
E9,https://leetcode.com/problems/min-stack/description/,https://leetcode.com/problems/trapping-rain-water/description/,https://leetcode.com/problems/next-permutation/description/,
E10,https://leetcode.com/problems/n-queens/description/,https://leetcode.com/problems/implement-queue-using-stacks/description/,https://leetcode.com/problems/word-ladder/description/,https://leetcode.com/problems/word-ladder-ii/description/
E11,https://leetcode.com/problems/two-sum/description/,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/,https://leetcode.com/problems/subarray-sum-equals-k/description/,https://leetcode.com/problems/3sum/description/
E12,https://leetcode.com/problems/island-perimeter/description/,https://leetcode.com/problems/merge-intervals/description/,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,
E13,https://leetcode.com/problems/reverse-linked-list-ii/description/,https://leetcode.com/problems/regular-expression-matching/description/,https://leetcode.com/problems/power-of-three/description/,
E14,https://leetcode.com/problems/find-all-anagrams-in-a-string/description/,https://leetcode.com/problems/queue-reconstruction-by-height/description/,https://leetcode.com/problems/regular-expression-matching/description/,
E15,https://leetcode.com/problems/linked-list-cycle/description/,https://leetcode.com/problems/linked-list-cycle-ii/description/,https://leetcode.com/problems/minimum-height-trees/description/,
E16,https://leetcode.com/problems/multiply-strings/description/,https://leetcode.com/problems/gas-station/description/,https://leetcode.com/problems/first-unique-character-in-a-string/description/,
E17,https://leetcode.com/problems/contains-duplicate-ii/description/,https://leetcode.com/problems/binary-tree-level-order-traversal/description/,https://leetcode.com/problems/restore-ip-addresses/description/,
E18,https://leetcode.com/problems/spiral-matrix/description/,https://leetcode.com/problems/game-of-life/description/,https://leetcode.com/problems/search-a-2d-matrix-ii/description/,
